feature_id,hits,n_prompts,mean_activation,context_specificity,token_specificity,context_specificity_vs_baseline,token_specificity_vs_baseline,firing_rate,composite_score
72,415,387,5.1185845297503185,0.07709082788498542,0.9609362191053257,0.010694829883886786,0.6298002904744968,0.0461572683794906,0.3331974749373603
6863,117,66,3.083015042492467,0.07703581408287166,0.39095669461589816,0.01063981608177303,0.0598207659850693,0.013013013013013013,0.17103145568611403
3412,457,409,3.6579264105018434,0.07697145611273465,0.8537802450022245,0.010575458111636016,0.5226443163713956,0.05082860638416194,0.23546335992621437
2866,64,42,2.956846909597516,0.07692100280082932,0.3466127709932095,0.010525004799730689,0.015476842362380616,0.007118229340451563,0.15181809807536414
6421,381,293,3.366838110400623,0.0769201776002981,0.3245013175978773,0.010524179599199462,-0.006634611032951543,0.04237570904237571,0.16240683702623498
3806,109,87,3.925681581190967,0.07674716469669048,0.4494820596756891,0.010351166695591843,0.11834613104486025,0.012123234345456568,0.22803290015716848
2803,205,181,2.9182666261021684,0.07660868514042717,0.8183846521295703,0.010212687139328533,0.4872487234987415,0.022800578356133912,0.18535828747962793
6392,82,72,3.0268275141716003,0.07631965724639497,0.5503563188529597,0.00992365924529634,0.2192203902221308,0.009120231342453565,0.1820827773580235
4363,156,139,2.937695074539918,0.07617682129393495,0.5602208380031969,0.009780823292836319,0.22908490937236803,0.017350684017350685,0.17656518590421133
2949,137,104,3.1788924906375633,0.07616678202079087,0.41498282082639804,0.009770784019692239,0.08384689219556918,0.015237459681904127,0.17709325497425557
3229,3716,756,2.9345102290611864,0.07606063966223925,0.34649082432002,0.009664641661140616,0.015354895689191128,0.41330219107996885,0.14771997001992473
6509,163,136,2.7781881123232695,0.07593236902096372,0.41037736495835214,0.009536371019865084,0.07924143632752328,0.018129240351462572,0.15318749075163784
4562,98,84,2.797723948955536,0.0756603567277928,0.3354151069389467,0.009264358726694163,0.004279178308117859,0.010899788677566455,0.13576564328824223
3179,1134,526,2.9926723493049594,0.07546354142159076,0.3248577370138267,0.009067543420492125,-0.00627819161700216,0.12612612612612611,0.14006112885122662
273,600,209,2.708942367831866,0.07544107757952101,0.3339173493714216,0.009045079578422377,0.0027814207405927327,0.0667334000667334,0.13026324973088343
2971,304,247,3.38788721945725,0.07533481094911122,0.24400402700878912,0.00893881294801259,-0.08713190162203974,0.03381158936714492,0.018491567903576894
4697,169,156,2.9463790499952416,0.07521447113930824,0.5020575994064351,0.008818473138209604,0.17092167077560627,0.01879657435212991,0.16896979909415452
1501,45,43,3.1222393141852485,0.07521324166313269,0.3033864719277256,0.008817243662034055,-0.027749456703103248,0.005005005005005005,0.13263542754370997
6975,29,21,3.6220569363955795,0.07511756752631502,0.38814586253958727,0.008721569525216383,0.057009933908758414,0.003225447669892114,0.1909640624922008
2906,472,249,3.039272675322274,0.07509724303050018,0.3088095564723128,0.008701245029401547,-0.022326372158516072,0.052496941385830276,0.13240316184684287
4639,230,208,3.0352035885271818,0.07505572125912886,0.7297244462663312,0.00865972325803023,0.3985885176355023,0.025581136692247805,0.18260326286324582
